Name,ORE_sdE3_r1_GTGGCC_L004,ORE_sdE3_r2_TGACCA_L005,ORE_w_r1_ATCACG_L001,ORE_w_r2_GTTTCG_L002,OREf_SAMm_sdE3_ATTCCT_L002,OREf_SAMm_w_GTCCGC_L006,SAM_sdE3_r1_ATGTCA_L006,SAM_sdE3_r2_GCCAAT_L007,SAM_w_r1_ACTTGA_L003,SAM_w_r2_GAGTGG_L004,SAMf_OREm_sdE3_TAGCTT_L001,SAMf_OREm_w_CAGATC_L005
FBtr0070000,0.0,0.0,0.0337962,0.0,0.0,0.0,0.0,0.15338,0.162933,0.0,0.0,0.0
FBtr0307554,0.0336225,0.0,0.00144198,0.0,0.13086,0.13592,0.265872,0.00877957,0.00855595,0.135987,0.0699323,0.0317894
FBtr0307555,0.110293,0.158451,0.0690395,0.0892264,0.0809311,0.0940598,0.105166,0.0286107,0.0385546,0.138905,0.138924,0.10916
FBtr0070002,0.0,0.0,0.0706574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0070003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0301569,0.0,0.075155,0.204848,0.131955,0.0,0.132437,0.0303025,0.0106553,0.0286679,0.0389535,0.0309803,0.0449575
FBtr0343166,0.0604956,0.0,0.0,0.0,0.0398716,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0070029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0301572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0070032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0070035,0.0,0.0,0.0392634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0070036,0.161287,0.217462,0.0,0.0,0.160473,0.0,0.148339,0.0823497,0.109208,0.0980191,0.260471,0.0840037
FBtr0070045,46.1924,33.1632,26.6421,39.8706,26.9905,24.0175,30.9111,28.33,42.9328,42.6353,32.9724,26.791
FBtr0070046,26.3326,24.843,14.4007,23.5603,15.3503,12.7633,15.8142,16.5986,24.1195,28.58,19.2202,15.6828
FBtr0299869,5048.77,5513.0,3984.35,5059.55,4773.66,4213.33,4295.94,4082.07,4860.62,6320.4,5743.31,5588.02
FBtr0299870,3044.06,4003.65,3172.61,4096.39,3103.9,2977.13,2616.26,3610.57,3261.98,4419.85,3962.82,3966.79
FBtr0333910,39.2263,34.9582,28.8664,35.3506,26.7342,24.1068,24.6253,20.9402,30.7256,32.2226,36.3739,29.8172
FBtr0070063,2.61661,3.5445,6.32335,4.41193,6.00052,4.52172,10.3176,5.92544,4.19179,3.46649,1.49019,2.66331
FBtr0332992,13.4649,8.81006,10.5659,10.6666,9.38271,8.93549,9.95977,6.73848,15.223,10.251,8.81217,10.0734
FBtr0070064,31.4496,30.962,34.6782,48.0905,37.1011,37.1671,36.1338,38.6213,40.1139,45.4643,30.5192,32.1583
FBtr0070065,23.0236,16.8192,20.1019,14.8668,15.644,13.8714,23.4681,9.70016,20.459,15.6246,19.0521,18.3809
FBtr0070066,3.76793,3.94185,11.1879,3.93441,3.83702,3.58557,8.88732,2.6217,1.38995,3.40636,6.71296,3.48652
